[info | 2018-12-29 21:17:09.547] | [NFCPluginManager::Awake:81] | NFPluginLoader Awake................
[info | 2018-12-29 21:17:09.570] | [NFCPluginManager::Init:111] | NFPluginLoader Init................
[info | 2018-12-29 21:17:09.624] | [NFCPluginManager::AfterInit:366] | NFPluginLoader AfterInit................
[info | 2018-12-29 21:17:09.624] | [NFCPluginManager::CheckConfig:377] | NFPluginLoader CheckConfig................
[info | 2018-12-29 21:17:09.624] | [NFCPluginManager::ReadyExecute:389] | NFPluginLoader ReadyExecute................
[info | 2018-12-29 21:20:31.576] | [NFCPluginManager::Awake:81] | NFPluginLoader Awake................
[info | 2018-12-29 21:20:31.606] | [NFCPluginManager::Init:111] | NFPluginLoader Init................
[info | 2018-12-29 21:20:33.690] | [NFCPluginManager::AfterInit:366] | NFPluginLoader AfterInit................
[info | 2018-12-29 21:20:33.690] | [NFCPluginManager::CheckConfig:377] | NFPluginLoader CheckConfig................
[info | 2018-12-29 21:20:33.690] | [NFCPluginManager::ReadyExecute:389] | NFPluginLoader ReadyExecute................
[info | 2018-12-29 21:24:34.455] | [NFCPluginManager::Awake:81] | NFPluginLoader Awake................
[info | 2018-12-29 21:24:34.479] | [NFCPluginManager::Init:111] | NFPluginLoader Init................
[info | 2018-12-29 21:24:36.560] | [NFCPluginManager::AfterInit:366] | NFPluginLoader AfterInit................
[info | 2018-12-29 21:24:36.560] | [NFCPluginManager::CheckConfig:377] | NFPluginLoader CheckConfig................
[info | 2018-12-29 21:24:36.560] | [NFCPluginManager::ReadyExecute:389] | NFPluginLoader ReadyExecute................
