[info | 2019-01-04 23:13:58.016] | [NFCPluginManager::Awake:82] | NFPluginLoader Awake................
[info | 2019-01-04 23:13:58.038] | [NFCPluginManager::Init:112] | NFPluginLoader Init................
[debug | 2019-01-04 23:13:58.282] | [Lua] | [../ScriptModule\module.lua:5] | load module:RebotServerModule
[info | 2019-01-04 23:13:58.283] | [NFCPluginManager::AfterInit:385] | NFPluginLoader AfterInit................
[info | 2019-01-04 23:13:58.283] | [NFCPluginManager::CheckConfig:396] | NFPluginLoader CheckConfig................
[info | 2019-01-04 23:13:58.283] | [NFCPluginManager::ReadyExecute:408] | NFPluginLoader ReadyExecute................
[debug | 2019-01-04 23:14:23.032] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:23.035] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:23.037] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:23.039] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:23.042] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[error | 2019-01-04 23:14:23.043] | [Lua] | [../ScriptModule/gxlua\LuaNFrame.lua:93] | RebotServerModule.addRebot cost time:12565 us some thint wrong
[debug | 2019-01-04 23:14:23.693] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:24.056] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:24.061] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:24.067] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:24.075] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:24.079] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[error | 2019-01-04 23:14:24.081] | [Lua] | [../ScriptModule/gxlua\LuaNFrame.lua:93] | RebotServerModule.addRebot cost time:30614 us some thint wrong
[debug | 2019-01-04 23:14:24.434] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.069] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.077] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.083] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.089] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.094] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[error | 2019-01-04 23:14:25.096] | [Lua] | [../ScriptModule/gxlua\LuaNFrame.lua:93] | RebotServerModule.addRebot cost time:33134 us some thint wrong
[debug | 2019-01-04 23:14:25.290] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.691] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.710] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.730] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:25.939] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:26.067] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:26.086] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:26.093] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
