--------------------------------------------------------
-- Collect memory reference at line:29@file:../ScriptModule\module.lua
--------------------------------------------------------
-- [Table/Function/String Address/Name]	[Reference Path]	[Reference Count]
--------------------------------------------------------
-- From Root Object: table: 00000140B2BD9400 (registry)
string: ""	registry.2[_G].package.loaded.coroutine.resume.[ups:table:LuaDebugger].DebugLuaFie[string]	653
string: "0"	registry.2[_G].taskTable.3152.reward[string]	379
table: 00000140B2BD9780	registry.2[_G]	337
string: "1001_1"	registry.2[_G].taskTable.3152.reward2[string]	73
string: "1009_5"	registry.2[_G].taskTable.2103.reward2[string]	62
string: "1003_30"	registry.2[_G].taskTable.3153.reward2[string]	56
table: 00000140B2BDA900	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].decode.[ups:function:decode_scanWhitespace].[ups:table:string]	49
string: "1_100"	registry.2[_G].CollectionTable.1.reward[string]	48
table: 00000140B2BD9580	registry.2[_G].package.loaded.protobuf.c	47
function: 00007FF69CBF9C9A	registry.2[_G].NFHttpRequest.__index[line:-1@file:[C]]	42
function: 00007FF69CC26998	registry.2[_G].NFHttpRequest.___const.__newindex[line:-1@file:[C]]	42
userdata: 00007FF69E6D860C	registry.2[_G].NFHttpRequest.___const.[table:key.userdata]	42
string: "1008_5"	registry.2[_G].taskTable.2058.reward2[string]	40
string: "1_200"	registry.2[_G].taskTable.2050.reward[string]	31
string: "1_50"	registry.2[_G].taskTable.2053.reward[string]	28
string: "1003_10"	registry.2[_G].taskTable.3067.reward2[string]	28
string: "1_150"	registry.2[_G].taskTable.2049.reward[string]	22
string: "1012_1"	registry.2[_G].DailyWelfareTable.7.fridayReward[string]	22
string: "两小时金币"	registry.2[_G].DailyWelfareTable.7.desc3[string]	22
string: "1_300"	registry.2[_G].taskTable.2052.reward[string]	22
string: "防护罩x1"	registry.2[_G].DailyWelfareTable.1.desc3[string]	22
string: "1001_2"	registry.2[_G].DailyWelfareTable.4.fridayReward[string]	21
string: "1_250"	registry.2[_G].taskTable.2051.reward[string]	21
table: 00000140B4AD53C0	registry.2[_G].protobuf.encode.[ups:function:encode_message].[ups:table:encode_type_cache].[metatable].__index.[ups:table:_encode_type_meta].__index.[ups:table:_writer]	21
string: "防护罩x2"	registry.2[_G].DailyWelfareTable.4.desc3[string]	21
string: "1003_60"	registry.2[_G].taskTable.3176.reward2[string]	21
table: 00000140B4AD5440	registry.2[_G].protobuf.extract.[ups:function:expand].[ups:function:default_table].[ups:function:decode_message].[ups:table:_R_meta].__index.[ups:table:decode_type_cache].[metatable].__index.[ups:table:_decode_type_meta].__index.[ups:table:_reader]	21
string: "1_500"	registry.2[_G].taskTable.2067.reward[string]	18
string: "1003_120"	registry.2[_G].taskTable.3246.reward2[string]	18
string: "1_15"	registry.2[_G].taskTable.3068.reward[string]	18
string: "1003_90"	registry.2[_G].taskTable.3211.reward2[string]	18
string: "1_10"	registry.2[_G].taskTable.3002.reward[string]	15
string: "世界利润加成"	registry.2[_G].StoreData.3015.name[string]	14
string: "点击利润加成"	registry.2[_G].StoreData.3008.name[string]	14
userdata: 00000140B4A42B80	registry.2[_G].protobuf.check.[ups:userdata:P]	14
